claim_id,short_name,role,section,rhetorical_form,source_audits,evidence_class,mathematical_status,novelty_status,citation_requirement,allowed_claim,forbidden_overclaim,readiness,editorial_note
MF-R036,No nontrivial continuous cardinal score satisfies both extension stability and full positive-affine invariance,MAIN,4. Operational Kernels and Parameter Status,FOUNDATIONAL_LEMMA,A28,NO_GO_THEOREM,PROVED,ELEMENTARY COROLLARY OF STANDARD INTERVAL-SCALE MEASUREMENT INVARIANCE; PROJECT-SPECIFIC CONTEXT FORMULATION,PRIOR_CONTEXT_REQUIRED,"The project formalizes a short incompatibility among extension stability, numerical positive-affine invariance, continuity, and nontrivial cardinal score differences.","A fundamentally new measurement-theory impossibility theorem, or a claim that interval-scale differences are meaningless.",READY_FOR_DRAFT,"Foundational lemma, not a headline theorem."
MF-R037,Additive base measure restores exact clone/refinement invariance for weighted messages,MAIN,"5. Measure, Multiplicity, and Refinement",EXACT_REFINEMENT_IDENTITY,A29.1,EXACT_IDENTITY + COMPUTATIONAL_TEST,PROVED AWAY FROM SINGULAR BOUNDARY,LIKELY STANDARD WEIGHTED-MEASURE COROLLARY,PRIOR_CONTEXT_REQUIRED,Base-measure weighting removes naive clone-count dependence.,That the origin or physical semantics of mu are derived.,READY_FOR_DRAFT,Positive identity survives despite A29.1's boundary failure.
MF-R039,Relation plus q cannot distinguish descriptive clones from ontically distinct copies,MAIN,"5. Measure, Multiplicity, and Refinement",SEMANTIC_IDENTIFIABILITY_PROPOSITION,A30,SEMANTIC_IDENTIFIABILITY_NO_GO,PROVED UNDER REPRESENTATIONAL ASSUMPTIONS,POTENTIALLY ORIGINAL FRAMEWORK FORMULATION; BASIC LOGIC IS GENERAL,PRIOR_CONTEXT_REQUIRED,An additional refinement/multiplicity semantics is required to distinguish the two interpretations.,Proof that copies can never be physically distinguished by any enriched future theory.,READY_FOR_DRAFT,"Motivate mu through representational insufficiency, not ontology rhetoric."
MF-R040,Positive leaf weights have a unique additive extension on a finite refinement tree,MAIN,"5. Measure, Multiplicity, and Refinement",ATTRIBUTED_FINITE_MEASURE_LEMMA,A31,FINITE_MEASURE_THEOREM + EXACT_TESTS,PROVED,CLASSICAL FINITE ADDITIVITY RESULT; PROJECT APPLICATION,MANDATORY_CLASSICAL_ATTRIBUTION,"Once leaf weights are supplied, additive mass is path-independent and uniquely determined.",That terminal leaves or their weights are physically selected.,READY_FOR_DRAFT,Finite additive extension is classical; use as construction.
MF-R041,Consistent finite-branching refinements define a projective measure without terminal leaves,MAIN,"5. Measure, Multiplicity, and Refinement",ATTRIBUTED_EXTENSION_THEOREM,A32,CLASSICAL_EXTENSION_THEOREM + EXAMPLES,PROVED VIA STANDARD THEOREM,CLASSICAL KOLMOGOROV/DANIELL EXTENSION APPLICATION,MANDATORY_CLASSICAL_ATTRIBUTION,Terminal ontology is not mathematically required for a projective measure.,A new extension theorem or proof that physical reality is infinitely divisible.,READY_FOR_DRAFT,Use extension theorem to remove terminal-leaf dependence.
MF-R042,Atomicity and terminality are logically distinct,MAIN,"5. Measure, Multiplicity, and Refinement",CONSTRUCTIVE_EXAMPLES,A32,CONSTRUCTIVE_EXAMPLES,PROVED,CLEAN FRAMEWORK-SPECIFIC ILLUSTRATION OF CLASSICAL DISTINCTION,MANDATORY_CLASSICAL_ATTRIBUTION,Terminal nodes and measure atoms must not be identified.,A classification of all refinement measures.,READY_FOR_DRAFT,Atomicity and terminality must remain distinct.
MF-R043,Exact regrouping consistency gives conditional ratios of additive weights,MAIN,"5. Measure, Multiplicity, and Refinement",ATTRIBUTED_RATIO_LEMMA,A33,MEASURE-THEORETIC IDENTITY,PROVED,CLASSICAL CONDITIONAL-PROBABILITY STRUCTURE,MANDATORY_CLASSICAL_ATTRIBUTION,Projective regrouping selects the ratio architecture once W is given.,That projectivity selects the terminal weights or their physical origin.,READY_FOR_DRAFT,Ratio law is conditional probability architecture once W is given.
MF-R044,W_lambda(B)=sum mu_l exp(-lambda q_l) is exactly projective and gauge covariant,MAIN,6. Static Exponential Aggregation,EXACT_PROJECTIVE_IDENTITY,A33,EXACT_IDENTITY + ENUMERATIVE TEST,PROVED,CLASSICAL LOG-SUM-EXP / PARTITION-FUNCTION ALGEBRA APPLIED TO FRAMEWORK,MANDATORY_CLASSICAL_ATTRIBUTION,This weight is an exact static projective message for the chosen exponential law.,"Thermodynamic energy, physical temperature, or a derived fundamental law.",READY_FOR_DRAFT,Bridge from additive measure to exponential static message.
MF-R045,Projectivity does not determine terminal weights or their ontology,MAIN,"5. Measure, Multiplicity, and Refinement",UNDERDETERMINATION_PROPOSITION,A31-A33,CONSTRUCTIVE_UNDERDETERMINATION,PROVED BY COUNTERFAMILY,GENERAL MEASURE-THEORETIC FACT / FRAMEWORK CONSEQUENCE,PRIOR_CONTEXT_REQUIRED,"Consistency constrains how weights combine, not which weights nature uses.",That no physical or statistical principle could determine weights.,READY_FOR_DRAFT,Consistency does not select the terminal weights.
MF-R046,Q_lambda is statically associative,MAIN,6. Static Exponential Aggregation,ATTRIBUTED_ASSOCIATIVITY_IDENTITY,A34,EXACT_IDENTITY,PROVED,CLASSICAL QUASI-ARITHMETIC / LOG-SUM-EXP PROPERTY,MANDATORY_CLASSICAL_ATTRIBUTION,Q_lambda is an exact static sufficient score for the corresponding partition sum.,A unique coarse-graining variable for every observable or a thermodynamic state variable.,READY_FOR_DRAFT,Static associativity is classical log-sum-exp structure.
MF-R047,Q_lambda(aq+c)=c+a Q_{a lambda}(q),MAIN,6. Static Exponential Aggregation,ATTRIBUTED_AFFINE_IDENTITY,A34,EXACT_IDENTITY,PROVED ALGEBRAICALLY,CLASSICAL ALGEBRAIC PROPERTY OF THE EXPONENTIAL CERTAINTY EQUIVALENT / ENTROPIC RISK FUNCTIONAL,MANDATORY_CLASSICAL_ATTRIBUTION,The framework uses the standard affine covariance Q_lambda(aq+c)=c+a Q_{a lambda}(q) to track score-scale and parameter coupling.,A newly discovered log-partition transformation law or evidence for physical renormalization.,READY_FOR_DRAFT,Background affine identity with attribution.
MF-R048,Q'_lambda=(1-a) q_bar + a Q_{a lambda},MAIN,7. Dynamic Transport and Nonclosure,CENTRAL_EXACT_PROPOSITION,A34,EXACT_DYNAMIC_IDENTITY,PROVED,PROJECT-SPECIFIC DIRECT COROLLARY OF CLASSICAL AFFINE COVARIANCE; EXACT BUT NOT AN INDEPENDENT NEW THEOREM,MANDATORY_CLASSICAL_ATTRIBUTION,"For the declared centered contraction, the exact transport law Q'_lambda=(1-a)q_bar+aQ_{a lambda} follows and exposes parameter transport.","A previously unknown algebraic identity, a physical evolution law, or a renormalization-group flow.",READY_FOR_DRAFT,"Central exact transport proposition; algebra classical, use project-specific."
MF-R049,A single Q_lambda is not generally a dynamically closed state variable,MAIN,7. Dynamic Transport and Nonclosure,CENTRAL_EXACT_COUNTEREXAMPLE,A34,CONSTRUCTIVE_COUNTEREXAMPLE + EXACT_IDENTITY,PROVED,PROJECT-SPECIFIC EXACT NONCLOSURE COROLLARY WITH AN EXACT FOUR-POINT COUNTEREXAMPLE; NO EXACT PRIOR MATCH FOUND; NOVELTY NOT CERTIFIED,PROJECT_CONTRIBUTION_WITH_PRIOR_CONTEXT,"On the unrestricted finite-distribution class, mean plus one fixed-lambda entropic score does not determine the next score; an exact four-point witness is provided.","No finite-dimensional closure can exist, the whole curve is always minimal, or the result solves the general moment-closure problem.",READY_WITH_EXACT_C2_WITNESS,Use the exact four-point witness in the proof body.
MF-R050,Q_lambda depends on the cumulant hierarchy,MAIN,7. Dynamic Transport and Nonclosure,ATTRIBUTED_CUMULANT_BACKGROUND,A34,CLASSICAL_SERIES + NUMERICAL_APPROXIMATION,PROVED UNDER ANALYTICITY,CLASSICAL CUMULANT EXPANSION,MANDATORY_CLASSICAL_ATTRIBUTION,Higher cumulants explain the generic failure of mean-variance closure.,A globally convergent expansion for heavy-tailed laws.,READY_FOR_DRAFT,"Keep cumulants as explanation, not a separate novelty claim."
MF-R058,Translation-covariant decomposable quasi-arithmetic means reduce to arithmetic or exponential families,MAIN,8. Observable-Relative Coarse-Graining,ATTRIBUTED_CHARACTERIZATION,A38.1,CLASSICAL_CHARACTERIZATION + NUMERICAL_CHECKS,CLASSICAL UNDER REGULARITY ASSUMPTIONS,CLASSICAL KOLMOGOROV-NAGUMO/ACZEL RESULT,MANDATORY_CLASSICAL_ATTRIBUTION,The audited regular mean class contains two translation-covariant families relevant to the framework.,A new classification theorem or uniqueness of a physical coarse-graining.,READY_FOR_DRAFT,Classical quasi-arithmetic characterization.
MF-R059,Q_lambda exactly preserves the exponential kernel under grouping,MAIN,8. Observable-Relative Coarse-Graining,EXACT_SUFFICIENCY_IDENTITY,A38.1,EXACT_SUFFICIENT-STATISTIC IDENTITY,PROVED,ELEMENTARY BUT CENTRAL PROJECT-SPECIFIC CONSEQUENCE,PRIOR_CONTEXT_REQUIRED,Q_lambda is the exact static message for this declared observable.,The unique coarse variable for every law or a physical thermodynamic potential.,READY_FOR_DRAFT,Exact sufficiency for the declared exponential kernel.
MF-R061,A micro kernel and partition do not determine a unique macro transition without source occupancy,MAIN,8. Observable-Relative Coarse-Graining,ATTRIBUTED_OCCUPANCY_OBSTRUCTION,A38.1,CLASSICAL_MARKOV_AGGREGATION FACT + NUMERICAL WITNESS,PROVED,CLASSICAL KEMENY-SNELL/LUMPABILITY CONSEQUENCE,MANDATORY_CLASSICAL_ATTRIBUTION,Occupancy or a lumpability condition is necessary for a unique macro Markov kernel.,A new discovery of lumpability or proof that pi is a fundamental physical field.,READY_FOR_DRAFT,Attribute to Markov aggregation/lumpability.
MF-R062,Joint flows aggregate exactly when occupancy is supplied,MAIN,8. Observable-Relative Coarse-Graining,EXACT_FLOW_IDENTITY,A38.1,EXACT_IDENTITY,PROVED,CLASSICAL CONDITIONAL-FLOW CONSTRUCTION,MANDATORY_CLASSICAL_ATTRIBUTION,Carrying joint flow or occupancy restores exact dynamic aggregation.,"That the physical origin, dynamics, or uniqueness of pi is known.",READY_FOR_DRAFT,Show flow as exact positive construction.
MF-R063,There is no observable-independent unique scalar coarse-graining of q,MAIN,8. Observable-Relative Coarse-Graining,FRAMEWORK_PRINCIPLE,"A34, A38.1",FRAMEWORK_SYNTHESIS,SUPPORTED BY EXACT IDENTITIES AND COUNTEREXAMPLES,ORIGINAL SYNTHESIS; COMPONENTS MOSTLY CLASSICAL,MANDATORY_CLASSICAL_ATTRIBUTION,A coarse-graining rule must be specified relative to the observable or dynamics it is meant to preserve.,A universal proof that no richer common state representation exists.,READY_FOR_DRAFT,State observable-relative coarse-graining as the organizing principle.
MF-R067,"Current minimal architecture is (R,q,mu,K,pi)",MAIN,9. Provisional Informational Architecture,CENTRAL_SYNTHESIS,A18-A38.1 plus legacy RZS track,FRAMEWORK_SYNTHESIS,CONCEPTUAL ARCHITECTURE; NOT A UNIQUENESS THEOREM,POTENTIALLY ORIGINAL SYNTHESIS,PROJECT_CONTRIBUTION_WITH_PRIOR_CONTEXT,"The framework gives a disciplined provisional inventory of information needed for order, measure, transition, and coarse-grained flow.","A proven unique ontology, a final fundamental theory, or derivation of all primitives.",READY_FOR_DRAFT,"Use 'provisional informational architecture', not uniquely minimal ontology."
MF-R068,The obstruction map is a framework-level contribution,MAIN,9. Provisional Informational Architecture,OBSTRUCTION_MAP,A18-A38.1,FRAMEWORK_SYNTHESIS,SUPPORTED BY MIXED CLASSICAL AND PROJECT-SPECIFIC RESULTS,ORIGINAL ORGANIZATION; INDIVIDUAL ITEMS HAVE UNEQUAL NOVELTY,PRIOR_CONTEXT_REQUIRED,The catalogue clarifies which additional structures are logically needed in the current programme.,Presenting every no-go as equally deep or technically novel.,READY_FOR_DRAFT,Separate classical ingredients from project synthesis typographically.
MF-R069,"No physical spacetime, calibrated metric, gravity, or experimental mapping has been derived",MAIN,10. Scope and Physical Boundary,MANDATORY_NONCLAIM,Whole programme,SCIENTIFIC_STATUS / NONCLAIM,ESTABLISHED SCOPE BOUNDARY,NO NOVELTY CLAIM,PRIOR_CONTEXT_REQUIRED,The work is a formal pre-categorical research programme with explicit open physical bridges.,"Confirmed fundamental physics, emergent GR, matter, energy, or experimental support.",READY_FOR_DRAFT,Mandatory final boundary: no physical spacetime or empirical map derived.
MF-R026,Equivariant endogenous dynamics preserve observational equivalence,APPENDIX,Appendix A,EQUIVARIANCE_BACKGROUND,"A20, A21",EQUIVARIANCE_THEOREM,PROVED UNDER STATED ASSUMPTIONS,LIKELY STANDARD GROUP-EQUIVARIANCE PRINCIPLE; PROJECT APPLICATION,PRIOR_CONTEXT_REQUIRED,Purely endogenous equivariant evolution cannot break the targeted order-preserving symmetry.,"That dynamics can never break symmetry when stochastic laws, boundary conditions, or new primitives are non-equivariant.",READY_FOR_APPENDIX,Do not expand into a second paper inside the main text.
MF-R027,A calibrated non-invariant mark can break order degeneracy,APPENDIX,Appendix A,CALIBRATION_WITNESS,A22,CONSTRUCTIVE_WITNESS,PROVED BY CONSTRUCTION,ELEMENTARY / PROJECT-SPECIFIC,PRIOR_CONTEXT_REQUIRED,Additional calibrated structure can break the degeneracy.,That the required calibration has been physically derived.,READY_FOR_APPENDIX,Do not expand into a second paper inside the main text.
MF-R038,Weighted standardization is singular at zero variance and not uniformly stable near vanishing mass,APPENDIX,Appendix B,BOUNDARY_OBSTRUCTION,A29.1,CONSTRUCTIVE_COUNTEREXAMPLE + LIMIT_ANALYSIS,PROVED / DEMONSTRATED,PROJECT-SPECIFIC BOUNDARY OBSTRUCTION,PRIOR_CONTEXT_REQUIRED,The proposed standardized message needs an explicit nondegeneracy domain or a different boundary treatment.,That all weighted coarse-graining is unstable.,READY_FOR_APPENDIX,Do not expand into a second paper inside the main text.
MF-R051,Gaussian affine dynamics close exactly in mean and variance,APPENDIX,Appendix C,CONDITIONAL_GAUSSIAN_EXCEPTION,A35,CLASSICAL_CONDITIONAL_THEOREM + SIMULATION,PROVED,CLASSICAL GAUSSIAN CLOSURE,PRIOR_CONTEXT_REQUIRED,Mean-variance closure is exact inside the Gaussian invariant family.,"That centering, finite variance, or the present RZS law derives Gaussianity.",READY_FOR_APPENDIX,Do not expand into a second paper inside the main text.
MF-R056,Finite variance does not guarantee finite Q_lambda,APPENDIX,Appendix C,DOMAIN_WARNING,A37.1,CLASSICAL_TAIL_RESULT + FRAMEWORK CONSEQUENCE,PROVED,CLASSICAL; IMPORTANT APPLICATION,PRIOR_CONTEXT_REQUIRED,The partition-score formalism requires stronger tail control than finite variance.,That every heavy-tailed alternative is inadmissible for every observable.,READY_FOR_APPENDIX,Do not expand into a second paper inside the main text.
MF-R060,Mass plus weighted median is not a closed hierarchical message,APPENDIX,Appendix D,NONDECOMPOSABILITY_COUNTEREXAMPLE,A38.1,EXACT_COUNTEREXAMPLE,PROVED,ELEMENTARY PROJECT-SPECIFIC COUNTEREXAMPLE,PRIOR_CONTEXT_REQUIRED,Median is robust but that scalar summary is not hierarchically closed.,No hierarchical quantile sketch or richer summary can exist.,READY_FOR_APPENDIX,Do not expand into a second paper inside the main text.
MF-R052,Centering does not Gaussianize innovations or eliminate higher cumulants,SUPPLEMENT,Supplement,SUPPORTING_NOISE_RESULT,A35,CUMULANT_IDENTITY + MONTE_CARLO,PROVED / COMPUTATIONALLY DEMONSTRATED,CLASSICAL TIME-SERIES FACT,CLASSICAL_ATTRIBUTION_AND_METHODS_CONTEXT,Centered noise is not equivalent to Gaussian noise.,A universal statement about every interacting RZS graph process.,SUPPLEMENT_ONLY,Reserve for a future noise/universality paper unless a reviewer requests it.
MF-R053,Gaussianity is selected only by additional strong assumption packages,SUPPLEMENT,Supplement,SUPPORTING_NOISE_RESULT,"A36, A36.1",CLASSICAL_THEOREM_SYNTHESIS + REGRESSION_TESTS,CLASSICAL CONDITIONAL RESULTS,CLASSICAL; SYNTHESIS IS FRAMEWORK VALUE,CLASSICAL_ATTRIBUTION_AND_METHODS_CONTEXT,The framework can list sufficient Gaussian-selection principles and identify which are currently absent.,That the present RZS dynamics derives Gaussian noise.,SUPPLEMENT_ONLY,Reserve for a future noise/universality paper unless a reviewer requests it.
MF-R054,Central-limit convergence is asymptotic and requires independence or mixing plus tail conditions,SUPPLEMENT,Supplement,SUPPORTING_NOISE_RESULT,"A36.1, A37.1",CLASSICAL_THEOREM + CORRECTED NUMERICAL DIAGNOSTIC,CLASSICAL CONDITIONAL RESULT,CLASSICAL,CLASSICAL_ATTRIBUTION_AND_METHODS_CONTEXT,"Gaussian universality is a conditional asymptotic regime, not an automatic consequence of centering.",Exact finite-scale Gaussianity or convergence of all nonlinear observables.,SUPPLEMENT_ONLY,Reserve for a future noise/universality paper unless a reviewer requests it.
MF-R055,Matched mean and variance universalize low-order linear observables but not nonlinear/tail observables,SUPPLEMENT,Supplement,SUPPORTING_NOISE_RESULT,A37.1,ANALYTIC_CUMULANTS + MONTE_CARLO,CONDITIONAL MODEL RESULT,PROJECT-SPECIFIC SYNTHESIS OF CLASSICAL LINEAR-PROCESS FACTS,CLASSICAL_ATTRIBUTION_AND_METHODS_CONTEXT,Noise details can be dispensable for some observables and essential for others.,Universality of the full RZS graph dynamics.,SUPPLEMENT_ONLY,Reserve for a future noise/universality paper unless a reviewer requests it.
MF-R057,Shared non-Gaussian factors can block Gaussian coarse-graining,SUPPLEMENT,Supplement,SUPPORTING_NOISE_RESULT,A37.1,ANALYTIC_COUNTEREXAMPLE,PROVED,CLASSICAL COMMON-FACTOR COUNTEREXAMPLE,CLASSICAL_ATTRIBUTION_AND_METHODS_CONTEXT,Independence or adequate mixing is a substantive requirement for Gaussian universality.,That all correlated systems fail to Gaussianize.,SUPPLEMENT_ONLY,Reserve for a future noise/universality paper unless a reviewer requests it.
