claim_id,short_name,source_audits,evidence_class,mathematical_status,novelty_status,priority,frozen_owner,combinatorics_decision,combinatorics_section,combinatorics_form,foundational_decision,foundational_section,foundational_form,allowed_claim,forbidden_overclaim,physical_status
MF-R016,Broad interval-feature classifier did not satisfy all confirmatory gates,A11,MONTE_CARLO + MACHINE_LEARNING_PROTOCOL,FAILED_PROTOCOL,NO THEOREM OR NOVELTY CLAIM,P3,REPOSITORY_ONLY,EXCLUDE,,,EXCLUDE,,,The broad protocol was insufficient under its frozen gates.,Evidence for or against manifold emergence in nature.,MODEL-DIAGNOSTIC ONLY
MF-R017,Selected interval features discriminate 2D sprinklings from selected nulls,A12,MONTE_CARLO + CLASSIFIER,COMPUTATIONALLY DEMONSTRATED,PROJECT-SPECIFIC NUMERICAL RESULT,P3,REPOSITORY_ONLY,EXCLUDE,,,EXCLUDE,,,The feature family has targeted discriminatory power for these models.,A necessary or sufficient test for manifold-likeness.,SYNTHETIC MODEL DIAGNOSTIC
MF-R018,A scalar analytic interval signature failed selected null rejection,A13,ANALYTIC_FORMULA + MONTE_CARLO,FAILED_PROTOCOL,NO NOVELTY CLAIM BEYOND DOCUMENTED FAILURE,P3,REPOSITORY_ONLY,EXCLUDE,,,EXCLUDE,,,The tested scalar signature is insufficient.,A general impossibility theorem for analytic signatures.,SYNTHETIC MODEL DIAGNOSTIC
MF-R019,A covariance-aware multivariate signature passed its targeted model checks,A14,MONTE_CARLO MODEL CHECK,COMPUTATIONALLY DEMONSTRATED,PROJECT-SPECIFIC NUMERICAL RESULT,P3,REPOSITORY_ONLY,EXCLUDE,,,EXCLUDE,,,The signature is a useful necessary model check against those nulls.,A sufficient certificate of 2D embeddability or manifold-likeness.,SYNTHETIC MODEL DIAGNOSTIC
MF-R020,Global interval statistics can accept orders with local non-2D obstructions,A15,CONSTRUCTIVE_COUNTEREXAMPLE + MONTE_CARLO SEARCH,COMPUTATIONALLY CERTIFIED COUNTEREXAMPLE FAMILY,PROJECT-SPECIFIC COUNTEREXAMPLE; CONSTRUCTION MAY BE ORIGINAL,P2,REPOSITORY_ONLY,EXCLUDE,,,EXCLUDE,,,Passing the global interval statistic is not sufficient for local 2D order structure.,A complete forbidden-suborder characterization of manifold-likeness.,SYNTHETIC STRUCTURAL COUNTEREXAMPLE
MF-R021,Local and global checks still admitted clustered exact 2D counterexamples,A16,MONTE_CARLO PROTOCOL,FAILED_PROTOCOL,NO GENERAL NOVELTY CLAIM,P3,REPOSITORY_ONLY,EXCLUDE,,,EXCLUDE,,,Adding local checks did not solve the selected global-signature ambiguity.,That local diagnostics can never complement global statistics.,SYNTHETIC MODEL DIAGNOSTIC
MF-R022,Multiscale self-similarity detects some heterogeneous regimes but not compact clustering,A17,MONTE_CARLO PROTOCOL,FAILED / PARTIAL NUMERICAL RESULT,PROJECT-SPECIFIC NUMERICAL FINDING,P3,REPOSITORY_ONLY,EXCLUDE,,,EXCLUDE,,,The tested multiscale statistic is sensitive to some regime heterogeneity but not to all compact mixtures.,A universal multiscale no-go.,SYNTHETIC MODEL DIAGNOSTIC
MF-R023,Strict coordinatewise monotone transforms preserve product order,A18.2,CLASSICAL_IDENTITY + SOFTWARE_REGRESSION,PROVED / DEFINITIONAL,"CLASSICAL; ATTRIBUTE, DO NOT CLAIM NUMERICAL VALIDATION AS EVIDENCE",P0,FOUNDATIONAL,EXCLUDE,,,MAIN,2. Order-Only Identifiability,BACKGROUND_LEMMA,Order-only data are invariant under monotone recalibration of latent marginals.,A new theorem established by 270 simulations.,IDENTIFIABILITY RESULT
MF-R024,"The induced order law depends on the copula, not continuous marginals",A19,DIRECT_COROLLARY OF SKLAR,PROVED,CLASSICAL COROLLARY APPLIED TO PREGEOMETRY,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,2. Order-Only Identifiability,ATTRIBUTED_COROLLARY,Order observations cannot identify latent marginal scales within a fixed copula class.,A new copula theorem or recovery of spacetime measure from order alone.,IDENTIFIABILITY RESULT
MF-R025,No deterministic order-only estimator can distinguish monotone-equivalent latent models,"A18.2, A19",IDENTIFIABILITY_THEOREM,PROVED,DIRECT INFORMATION-THEORETIC COROLLARY; FRAMEWORK APPLICATION,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,2. Order-Only Identifiability,IDENTIFIABILITY_PROPOSITION,Additional non-order information is necessary to identify latent marginal quantities.,That every physically relevant measure is forever unrecoverable from any enriched relational model.,FOUNDATIONAL NO-GO
MF-R026,Equivariant endogenous dynamics preserve observational equivalence,"A20, A21",EQUIVARIANCE_THEOREM,PROVED UNDER STATED ASSUMPTIONS,LIKELY STANDARD GROUP-EQUIVARIANCE PRINCIPLE; PROJECT APPLICATION,P1,FOUNDATIONAL_APPENDIX,EXCLUDE,,,APPENDIX,Appendix A,EQUIVARIANCE_BACKGROUND,Purely endogenous equivariant evolution cannot break the targeted order-preserving symmetry.,"That dynamics can never break symmetry when stochastic laws, boundary conditions, or new primitives are non-equivariant.",FOUNDATIONAL NO-GO
MF-R027,A calibrated non-invariant mark can break order degeneracy,A22,CONSTRUCTIVE_WITNESS,PROVED BY CONSTRUCTION,ELEMENTARY / PROJECT-SPECIFIC,P1,FOUNDATIONAL_APPENDIX,EXCLUDE,,,APPENDIX,Appendix A,CALIBRATION_WITNESS,Additional calibrated structure can break the degeneracy.,That the required calibration has been physically derived.,FOUNDATIONAL WITNESS
MF-R028,An independent q field can evade the order-only identifiability limit,A23,CONDITIONAL_PROPOSITION,PROVED CONDITIONALLY,FRAMEWORK-SPECIFIC CONSEQUENCE,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,3. Additional Quantitative Structure q,CONDITIONAL_PROPOSITION,q can supply relative quantitative information absent from order.,That the physical origin or empirical meaning of q has been derived.,FOUNDATIONAL PRIMITIVE
MF-R029,Global q offset is unobservable under contrast-only constructions,A23,DIRECT_COROLLARY FROM DEFINITIONS,PROVED,DEFINITIONAL; NO NOVELTY CLAIM,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,3. Additional Quantitative Structure q,GAUGE_CONTRACT,The current construction determines q only up to a global offset.,"A deep independent no-go, or proof that nature has this gauge.",FOUNDATIONAL GAUGE CONTRACT
MF-R030,D_eff scales covariantly and normalized D_hat is gauge invariant,A23 and legacy RZS scale-gauge track,EXACT_IDENTITY,PROVED,ELEMENTARY CONSEQUENCE OF EXPONENTIAL EDGE COSTS,P0,FUTURE_GEOMETRY,EXCLUDE,,,EXCLUDE_FUTURE_GEOMETRY,,,D_eff is a computational round-trip relational cost defined up to global scale.,"Physical distance, a Lorentzian metric, calibrated length, or spacetime geometry.",COMPUTATIONAL GEOMETRY ONLY
MF-R031,Exponential transition log-odds encode q contrasts,A24.1,EXACT_IDENTITY + SYNTHETIC RECOVERY,PROVED FOR DECLARED KERNEL,CLASSICAL MULTINOMIAL-LOGIT IDENTITY APPLIED TO q,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,4. Operational Kernels and Parameter Status,ATTRIBUTED_MODEL_IDENTITY,The exponential kernel makes q contrasts operational in transition odds.,That the kernel or beta follows from the RZS primitives.,"OPERATIONAL MODEL, NOT PHYSICAL LAW"
MF-R032,Raw q scale and exponential strength are jointly degenerate,"A24.1, A27",EXACT_IDENTIFIABILITY_ARGUMENT,PROVED,STANDARD PARAMETERIZATION DEGENERACY,P1,FOUNDATIONAL,EXCLUDE,,,MAIN,4. Operational Kernels and Parameter Status,IDENTIFIABILITY_LEMMA,Only the product of raw-score scale and coupling strength is identifiable without calibration.,That lambda is always pure gauge after any normalization.,MODEL IDENTIFIABILITY
MF-R033,Scale-free standardized q scores admit infinitely many local kernels,A25,CONSTRUCTIVE_FAMILY,PROVED BY EXPLICIT INFINITE FAMILY,LIKELY ELEMENTARY UNDERDETERMINATION; PROJECT APPLICATION,P1,FOUNDATIONAL,EXCLUDE,,,MAIN,4. Operational Kernels and Parameter Status,UNDERDETERMINATION_PROPOSITION,The audited symmetry and locality principles leave the kernel law underdetermined.,That no additional axiom can select a law.,FOUNDATIONAL UNDERDETERMINATION
MF-R034,Difference-based odds and IIA select an exponential score family,A26,FUNCTIONAL_EQUATION,PROVED UNDER REGULARITY ASSUMPTIONS,CLASSICAL LUCE / CAUCHY RESULT; ATTRIBUTE,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,4. Operational Kernels and Parameter Status,ATTRIBUTED_CLASSICAL_THEOREM,These axioms narrow the family to exponentials but do not fix lambda.,A wholly new derivation of multinomial logit or proof that nature obeys IIA.,FOUNDATIONAL MODEL SELECTION
MF-R035,"After local standardization, lambda is an identifiable dimensionless model parameter but remains underived",A27,IDENTIFIABILITY_PROPOSITION + MONTE_CARLO,CONDITIONAL / COMPUTATIONALLY SUPPORTED,PROJECT-SPECIFIC MODEL-STATUS RESULT,P1,FOUNDATIONAL,EXCLUDE,,,MAIN,4. Operational Kernels and Parameter Status,MODEL_STATUS_PROPOSITION,lambda is not removable after standardization and must be estimated or derived separately.,A fundamental constant or a value predicted by the current theory.,"MODEL PARAMETER, NOT DERIVED CONSTANT"
MF-R036,No nontrivial continuous cardinal score satisfies both extension stability and full positive-affine invariance,A28,NO_GO_THEOREM,PROVED,ELEMENTARY COROLLARY OF STANDARD INTERVAL-SCALE MEASUREMENT INVARIANCE; PROJECT-SPECIFIC CONTEXT FORMULATION,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,4. Operational Kernels and Parameter Status,FOUNDATIONAL_LEMMA,"The project formalizes a short incompatibility among extension stability, numerical positive-affine invariance, continuity, and nontrivial cardinal score differences.","A fundamentally new measurement-theory impossibility theorem, or a claim that interval-scale differences are meaningless.",FOUNDATIONAL NO-GO
MF-R037,Additive base measure restores exact clone/refinement invariance for weighted messages,A29.1,EXACT_IDENTITY + COMPUTATIONAL_TEST,PROVED AWAY FROM SINGULAR BOUNDARY,LIKELY STANDARD WEIGHTED-MEASURE COROLLARY,P1,FOUNDATIONAL,EXCLUDE,,,MAIN,"5. Measure, Multiplicity, and Refinement",EXACT_REFINEMENT_IDENTITY,Base-measure weighting removes naive clone-count dependence.,That the origin or physical semantics of mu are derived.,FOUNDATIONAL MEASURE CONTRACT
MF-R038,Weighted standardization is singular at zero variance and not uniformly stable near vanishing mass,A29.1,CONSTRUCTIVE_COUNTEREXAMPLE + LIMIT_ANALYSIS,PROVED / DEMONSTRATED,PROJECT-SPECIFIC BOUNDARY OBSTRUCTION,P2,FOUNDATIONAL_APPENDIX,EXCLUDE,,,APPENDIX,Appendix B,BOUNDARY_OBSTRUCTION,The proposed standardized message needs an explicit nondegeneracy domain or a different boundary treatment.,That all weighted coarse-graining is unstable.,MATHEMATICAL BOUNDARY CONDITION
MF-R039,Relation plus q cannot distinguish descriptive clones from ontically distinct copies,A30,SEMANTIC_IDENTIFIABILITY_NO_GO,PROVED UNDER REPRESENTATIONAL ASSUMPTIONS,POTENTIALLY ORIGINAL FRAMEWORK FORMULATION; BASIC LOGIC IS GENERAL,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,"5. Measure, Multiplicity, and Refinement",SEMANTIC_IDENTIFIABILITY_PROPOSITION,An additional refinement/multiplicity semantics is required to distinguish the two interpretations.,Proof that copies can never be physically distinguished by any enriched future theory.,FOUNDATIONAL ONTOLOGY / IDENTIFIABILITY
MF-R040,Positive leaf weights have a unique additive extension on a finite refinement tree,A31,FINITE_MEASURE_THEOREM + EXACT_TESTS,PROVED,CLASSICAL FINITE ADDITIVITY RESULT; PROJECT APPLICATION,P1,FOUNDATIONAL,EXCLUDE,,,MAIN,"5. Measure, Multiplicity, and Refinement",ATTRIBUTED_FINITE_MEASURE_LEMMA,"Once leaf weights are supplied, additive mass is path-independent and uniquely determined.",That terminal leaves or their weights are physically selected.,FOUNDATIONAL MEASURE CONSTRUCTION
MF-R041,Consistent finite-branching refinements define a projective measure without terminal leaves,A32,CLASSICAL_EXTENSION_THEOREM + EXAMPLES,PROVED VIA STANDARD THEOREM,CLASSICAL KOLMOGOROV/DANIELL EXTENSION APPLICATION,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,"5. Measure, Multiplicity, and Refinement",ATTRIBUTED_EXTENSION_THEOREM,Terminal ontology is not mathematically required for a projective measure.,A new extension theorem or proof that physical reality is infinitely divisible.,FOUNDATIONAL MATHEMATICS
MF-R042,Atomicity and terminality are logically distinct,A32,CONSTRUCTIVE_EXAMPLES,PROVED,CLEAN FRAMEWORK-SPECIFIC ILLUSTRATION OF CLASSICAL DISTINCTION,P1,FOUNDATIONAL,EXCLUDE,,,MAIN,"5. Measure, Multiplicity, and Refinement",CONSTRUCTIVE_EXAMPLES,Terminal nodes and measure atoms must not be identified.,A classification of all refinement measures.,FOUNDATIONAL CLARIFICATION
MF-R043,Exact regrouping consistency gives conditional ratios of additive weights,A33,MEASURE-THEORETIC IDENTITY,PROVED,CLASSICAL CONDITIONAL-PROBABILITY STRUCTURE,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,"5. Measure, Multiplicity, and Refinement",ATTRIBUTED_RATIO_LEMMA,Projective regrouping selects the ratio architecture once W is given.,That projectivity selects the terminal weights or their physical origin.,FOUNDATIONAL MEASURE CONTRACT
MF-R044,W_lambda(B)=sum mu_l exp(-lambda q_l) is exactly projective and gauge covariant,A33,EXACT_IDENTITY + ENUMERATIVE TEST,PROVED,CLASSICAL LOG-SUM-EXP / PARTITION-FUNCTION ALGEBRA APPLIED TO FRAMEWORK,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,6. Static Exponential Aggregation,EXACT_PROJECTIVE_IDENTITY,This weight is an exact static projective message for the chosen exponential law.,"Thermodynamic energy, physical temperature, or a derived fundamental law.",STATIC OPERATIONAL CONSTRUCTION
MF-R045,Projectivity does not determine terminal weights or their ontology,A31-A33,CONSTRUCTIVE_UNDERDETERMINATION,PROVED BY COUNTERFAMILY,GENERAL MEASURE-THEORETIC FACT / FRAMEWORK CONSEQUENCE,P1,FOUNDATIONAL,EXCLUDE,,,MAIN,"5. Measure, Multiplicity, and Refinement",UNDERDETERMINATION_PROPOSITION,"Consistency constrains how weights combine, not which weights nature uses.",That no physical or statistical principle could determine weights.,FOUNDATIONAL UNDERDETERMINATION
MF-R046,Q_lambda is statically associative,A34,EXACT_IDENTITY,PROVED,CLASSICAL QUASI-ARITHMETIC / LOG-SUM-EXP PROPERTY,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,6. Static Exponential Aggregation,ATTRIBUTED_ASSOCIATIVITY_IDENTITY,Q_lambda is an exact static sufficient score for the corresponding partition sum.,A unique coarse-graining variable for every observable or a thermodynamic state variable.,STATIC OPERATIONAL CONSTRUCTION
MF-R047,Q_lambda(aq+c)=c+a Q_{a lambda}(q),A34,EXACT_IDENTITY,PROVED ALGEBRAICALLY,CLASSICAL ALGEBRAIC PROPERTY OF THE EXPONENTIAL CERTAINTY EQUIVALENT / ENTROPIC RISK FUNCTIONAL,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,6. Static Exponential Aggregation,ATTRIBUTED_AFFINE_IDENTITY,The framework uses the standard affine covariance Q_lambda(aq+c)=c+a Q_{a lambda}(q) to track score-scale and parameter coupling.,A newly discovered log-partition transformation law or evidence for physical renormalization.,MATHEMATICAL IDENTITY
MF-R048,Q'_lambda=(1-a) q_bar + a Q_{a lambda},A34,EXACT_DYNAMIC_IDENTITY,PROVED,PROJECT-SPECIFIC DIRECT COROLLARY OF CLASSICAL AFFINE COVARIANCE; EXACT BUT NOT AN INDEPENDENT NEW THEOREM,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,7. Dynamic Transport and Nonclosure,CENTRAL_EXACT_PROPOSITION,"For the declared centered contraction, the exact transport law Q'_lambda=(1-a)q_bar+aQ_{a lambda} follows and exposes parameter transport.","A previously unknown algebraic identity, a physical evolution law, or a renormalization-group flow.",MODEL-SPECIFIC EXACT IDENTITY
MF-R049,A single Q_lambda is not generally a dynamically closed state variable,A34,CONSTRUCTIVE_COUNTEREXAMPLE + EXACT_IDENTITY,PROVED,PROJECT-SPECIFIC EXACT NONCLOSURE COROLLARY WITH AN EXACT FOUR-POINT COUNTEREXAMPLE; NO EXACT PRIOR MATCH FOUND; NOVELTY NOT CERTIFIED,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,7. Dynamic Transport and Nonclosure,CENTRAL_EXACT_COUNTEREXAMPLE,"On the unrestricted finite-distribution class, mean plus one fixed-lambda entropic score does not determine the next score; an exact four-point witness is provided.","No finite-dimensional closure can exist, the whole curve is always minimal, or the result solves the general moment-closure problem.",DYNAMIC CLOSURE OBSTRUCTION
MF-R050,Q_lambda depends on the cumulant hierarchy,A34,CLASSICAL_SERIES + NUMERICAL_APPROXIMATION,PROVED UNDER ANALYTICITY,CLASSICAL CUMULANT EXPANSION,P1,FOUNDATIONAL,EXCLUDE,,,MAIN,7. Dynamic Transport and Nonclosure,ATTRIBUTED_CUMULANT_BACKGROUND,Higher cumulants explain the generic failure of mean-variance closure.,A globally convergent expansion for heavy-tailed laws.,MATHEMATICAL BACKGROUND
MF-R051,Gaussian affine dynamics close exactly in mean and variance,A35,CLASSICAL_CONDITIONAL_THEOREM + SIMULATION,PROVED,CLASSICAL GAUSSIAN CLOSURE,P0,FOUNDATIONAL_APPENDIX,EXCLUDE,,,APPENDIX,Appendix C,CONDITIONAL_GAUSSIAN_EXCEPTION,Mean-variance closure is exact inside the Gaussian invariant family.,"That centering, finite variance, or the present RZS law derives Gaussianity.",CONDITIONAL MODEL CLOSURE
MF-R052,Centering does not Gaussianize innovations or eliminate higher cumulants,A35,CUMULANT_IDENTITY + MONTE_CARLO,PROVED / COMPUTATIONALLY DEMONSTRATED,CLASSICAL TIME-SERIES FACT,P1,FOUNDATIONAL_SUPPLEMENT,EXCLUDE,,,SUPPLEMENT,Supplement,SUPPORTING_RESULT,Centered noise is not equivalent to Gaussian noise.,A universal statement about every interacting RZS graph process.,NOISE-LAW LIMIT
MF-R053,Gaussianity is selected only by additional strong assumption packages,"A36, A36.1",CLASSICAL_THEOREM_SYNTHESIS + REGRESSION_TESTS,CLASSICAL CONDITIONAL RESULTS,CLASSICAL; SYNTHESIS IS FRAMEWORK VALUE,P1,FOUNDATIONAL_SUPPLEMENT,EXCLUDE,,,SUPPLEMENT,Supplement,SUPPORTING_RESULT,The framework can list sufficient Gaussian-selection principles and identify which are currently absent.,That the present RZS dynamics derives Gaussian noise.,CONDITIONAL NOISE MODEL
MF-R054,Central-limit convergence is asymptotic and requires independence or mixing plus tail conditions,"A36.1, A37.1",CLASSICAL_THEOREM + CORRECTED NUMERICAL DIAGNOSTIC,CLASSICAL CONDITIONAL RESULT,CLASSICAL,P1,FOUNDATIONAL_SUPPLEMENT,EXCLUDE,,,SUPPLEMENT,Supplement,SUPPORTING_RESULT,"Gaussian universality is a conditional asymptotic regime, not an automatic consequence of centering.",Exact finite-scale Gaussianity or convergence of all nonlinear observables.,CONDITIONAL UNIVERSALITY
MF-R055,Matched mean and variance universalize low-order linear observables but not nonlinear/tail observables,A37.1,ANALYTIC_CUMULANTS + MONTE_CARLO,CONDITIONAL MODEL RESULT,PROJECT-SPECIFIC SYNTHESIS OF CLASSICAL LINEAR-PROCESS FACTS,P1,FOUNDATIONAL_SUPPLEMENT,EXCLUDE,,,SUPPLEMENT,Supplement,SUPPORTING_RESULT,Noise details can be dispensable for some observables and essential for others.,Universality of the full RZS graph dynamics.,CONDITIONAL MODEL RESULT
MF-R056,Finite variance does not guarantee finite Q_lambda,A37.1,CLASSICAL_TAIL_RESULT + FRAMEWORK CONSEQUENCE,PROVED,CLASSICAL; IMPORTANT APPLICATION,P0,FOUNDATIONAL_APPENDIX,EXCLUDE,,,APPENDIX,Appendix C,DOMAIN_WARNING,The partition-score formalism requires stronger tail control than finite variance.,That every heavy-tailed alternative is inadmissible for every observable.,MATHEMATICAL DOMAIN RESTRICTION
MF-R057,Shared non-Gaussian factors can block Gaussian coarse-graining,A37.1,ANALYTIC_COUNTEREXAMPLE,PROVED,CLASSICAL COMMON-FACTOR COUNTEREXAMPLE,P1,FOUNDATIONAL_SUPPLEMENT,EXCLUDE,,,SUPPLEMENT,Supplement,SUPPORTING_RESULT,Independence or adequate mixing is a substantive requirement for Gaussian universality.,That all correlated systems fail to Gaussianize.,CONDITIONAL UNIVERSALITY LIMIT
